p1	p2	genotype
SAM352	SAM356	SAM352xSAM356
SAM352	SAM357	SAM352xSAM357
SAM352	SAM358	SAM352xSAM358
SAM352	SAM360	SAM352xSAM360
SAM352	SAM361	SAM352xSAM361
SAM352	SAM362	SAM352xSAM362
SAM352	SAM363	SAM352xSAM363
SAM352	SAM364	SAM352xSAM364
SAM352	SAM365	SAM352xSAM365
SAM352	SAM366	SAM352xSAM366
SAM352	SAM367	SAM352xSAM367
SAM352	SAM369	SAM352xSAM369
SAM352	SAM370	SAM352xSAM370
SAM352	SAM372	SAM352xSAM372
SAM352	SAM373	SAM352xSAM373
SAM352	SAM374	SAM352xSAM374
SAM352	SAM375	SAM352xSAM375
SAM352	SAM377	SAM352xSAM377
SAM352	SAM378	SAM352xSAM378
SAM352	SAM379	SAM352xSAM379
SAM352	SAM380	SAM352xSAM380
SAM352	SAM381	SAM352xSAM381
SAM352	SAM382	SAM352xSAM382
SAM353	SAM354	SAM353xSAM354
SAM353	SAM355	SAM353xSAM355
SAM353	SAM356	SAM353xSAM356
SAM353	SAM357	SAM353xSAM357
SAM353	SAM358	SAM353xSAM358
SAM353	SAM360	SAM353xSAM360
SAM353	SAM361	SAM353xSAM361
SAM353	SAM362	SAM353xSAM362
SAM353	SAM363	SAM353xSAM363
SAM353	SAM364	SAM353xSAM364
SAM353	SAM365	SAM353xSAM365
SAM353	SAM366	SAM353xSAM366
SAM353	SAM367	SAM353xSAM367
SAM353	SAM369	SAM353xSAM369
SAM353	SAM370	SAM353xSAM370
SAM353	SAM372	SAM353xSAM372
SAM353	SAM373	SAM353xSAM373
SAM353	SAM374	SAM353xSAM374
SAM353	SAM375	SAM353xSAM375
SAM353	SAM377	SAM353xSAM377
SAM353	SAM378	SAM353xSAM378
SAM353	SAM379	SAM353xSAM379
SAM353	SAM380	SAM353xSAM380
SAM353	SAM381	SAM353xSAM381
SAM353	SAM382	SAM353xSAM382
SAM354	SAM355	SAM354xSAM355
SAM354	SAM356	SAM354xSAM356
SAM354	SAM357	SAM354xSAM357
SAM354	SAM358	SAM354xSAM358
SAM354	SAM360	SAM354xSAM360
SAM354	SAM361	SAM354xSAM361
